"id","session","expectationsafter","hard","changes","expectation_words","expectationwordafter","current_emotion"
"28","iidnewuyq4ng2z9bhlh5t","1","3","1","4","4","7"
"29","iidnewuyq4ng2z9bhlh5t","1","2","1","5","6","7"
"30","hrnvb4saxxhis9doywwme","1","3","1","5","2","6"
"31","dkxmbkd4ndss8uncqzh2bg","1","3","0","3","5","8"
"32","gxtx0t83hbz108t46i6fi","0","3","1","4","3","6"
"33","wgai12x5a6egt6g2igu1","1","2","1","4","4","6"
"34","a0t61evv7q7ouamght45zk","1","2","0","4","4","6"
"35","mofp2vr7irf5ieu9ybxwga","1","1","1","2","6","10"
"36","0zj0obwqdrv237do60qb3w","1","3","1","2","3","7"
"37","z7qq4b7bg2f0l1fmlyphqrq","1","3","1","2","5","8"
"38","8wtzzz5q8e37e7elgi6nwh","1","1","0","3","3","2"
"39","mwhxltgbr798u0rv724p1c","1","3","1","2","4","9"
"40","mwhxltgbr798u0rv724p1c","1","3","1","2","5","9"
"41","zis5ziyf98ntc8j9mvoz5o","0","3","1","4","3","6"
"42","os8730cn6gof82i6ra0r9","1","3","0","5","4","9"
"43","92mym4y7qtfi89fwh4wr3o","1","2","1","2","4","2"
"44","o9walhiv5n6avkmb9kfpx","1","3","1","5","6","10"
"45","pgdtfg990j2t3a62lmp4o","1","1","0","3","3","5"
"46","c71pcae89s0ur0hj0uoxok","1","3","0","2","4","7"
"47","c71pcae89s0ur0hj0uoxok","1","3","0","2","4","8"
"48","k6yysg1xv2rwvnsoltqz","1","3","1","5","1","2"
"49","8heqbtzu0yaqct9k1buet","1","2","0","4","3","8"
"50","9d3dvv95uuov0tkhasvhv","1","2","1","2","2","6"
"51","36fryxceczgc1z7ircirr6","0","2","1","1","3","6"
"52","gg8vwujmo6lwb4tt6kb2r","1","3","0","5","3","7"
"53","wvr8awzbiallju72rftdm","1","3","0","5","4","7"
"54","gg9dm8x5qatwhicucyx9e","1","3","1","4","5","9"
"55","tiwgnihk4ias4vparkzsdo","1","3","1","4","6","10"
"56","1wlgoz4u7it4r48e3a5979","0","1","0","5","6","7"
"57","pteeigacyib6o1t2g9o1qi","1","2","1","2","4","7"
"58","wd7og5hjpce54pxsz88y5y","0","2","1","3","1","5"
"59","xmwbuzxoyk1i3xqzwtr43","1","1","0","3","4","7"
"60","wg2d8h3lpial5bkmucfm2t","1","2","0","2","3","5"
"61","8tmf619sd58ysl4rnpvwhe","1","1","1","5","5","9"
"62","833idjt7nchyz80j5runs","0","1","0","1","3","5"
"63","833idjt7nchyz80j5runs","0","2","0","1","3","5"
"64","op57zjc57mlqb1fy63vjpe","0","3","1","4","5","9"
"65","qdesceesk8gsx88leidjr","1","2","1","2","6","7"
"66","gu0uqn7843mh58s4731k9u","0","1","1","2","4","7"
"67","bmg2gui4c0uy86rcwi668","1","2","1","4","6","7"
"68","sjzqfa70p8mqsu8s12rrd","1","3","0","4","4","6"
"69","xw0irhft9lnbjwbb1baimb","1","1","0","1","3","5"
"70","kqgqgdwchpolst0czq759","1","3","1","4","6","10"
"71","z50i8s34h6yxfm809z9b","1","2","1","4","2","3"
"72","27i6n2yb6ak2nk34fekjzi","1","3","1","1","3","7"
"73","fzi5s53b0vqd8o8eo4pe5g","0","3","1","2","4","7"
"74","fzi5s53b0vqd8o8eo4pe5g","0","3","1","2","6","10"
"75","kg7tag9hkidfg2nizl0k","1","2","1","2","2","4"
"76","z84fm78fqvg3hfnw5t24","0","3","1","5","4","7"
"77","z84fm78fqvg3hfnw5t24","0","3","1","3","3","5"
"78","zukiavdfb4f7vofa9g5eu","0","3","1","5","6","5"
"79","2d38uqb76eq9mcar28el7d","1","3","1","4","5","10"
"80","7tnrwmtp8s7c5jvrnefu8f","1","3","0","4","3","5"
"81","7tnrwmtp8s7c5jvrnefu8f","1","3","0","4","3","5"
"82","4czmgm6hmsvomllj0pcy0q","1","3","1","2","1","7"
"83","jgjhdjv6gxib4zik2u88p","1","1","1","4","1","3"
"84","jgjhdjv6gxib4zik2u88p","1","2","1","3","4","10"
"85","7mf3cxekj7gzwhqvkh9bda","1","3","1","5","6","9"
"86","n9sdrrpoypxu92cs6w0bc","1","2","1","4","4","7"
"87","sjg7aspo69azd89aylesxn","1","3","1","5","5","7"
"88","dxccwffrqajw3wlxb9qiw","1","3","0","5","6","8"
"89","9wsydd14vlvs6eilw7d8r","1","1","0","5","4","9"
"90","c5i86h3l32jac9wupy8erh","1","3","1","4","3","6"
"91","ctff56pp7rvtokk79gnad","1","3","1","2","4","8"
"92","ctff56pp7rvtokk79gnad","1","3","1","2","3","7"
"93","u2lh8mbl59irberw0xs4f","1","3","0","2","4","7"
"94","8l2l65dckaihparaewd0cj","1","3","1","3","5","10"
"95","m9k6frgo9nkvmymmb0cq9","0","3","0","2","3","5"
"96","8l2l65dckaihparaewd0cj","1","3","1","3","5","10"
"97","fvqg6og8afrd27ihgthn5d","0","2","0","5","3","5"
"98","fvqg6og8afrd27ihgthn5d","0","2","0","5","3","5"
"99","hnzbhn367j5tnsakh183sr","1","3","1","2","6","9"
"100","430c9n3omnsrv0bj0bzpdk","1","3","1","2","4","10"
"101","g2lk9hiz0a9d33ws06satw","1","3","1","1","3","5"
"102","hbxfil0zf4s8u0twdjhsxd","0","3","0","4","4","5"
"103","n8zv9k0s568v3hjkh2i9c","1","3","1","2","5","7"
"104","ssbax34sprepsp7izot3h","1","3","1","2","3","5"
"105","ssbax34sprepsp7izot3h","1","3","1","5","3","5"
"106","a01hcyd9wwmgwn7dpovlk","1","3","1","4","0","10"
"107","zydza9fasaj7wvakvdlqh","1","3","0","3","4","8"
"108","ohu91yrwbwnisgf6j5dw","1","2","0","2","3","6"
"109","t4t4fqe2ci6dqxf3lp5qj","0","3","0","1","3","5"
