"ID","Session","TimeRemaining","Misses","Hits","overallAverageMouseSpeed","thresholdedDirectionChanges","ClickFrequency","Level"
"29","iidnewuyq4ng2z9bhlh5t","33","0","15","1.871","141","0.556","1"
"30","iidnewuyq4ng2z9bhlh5t","31","1","15","1.545","55","0.552","1"
"31","hrnvb4saxxhis9doywwme","29","1","15","15.468","80","0.516","1"
"32","dkxmbkd4ndss8uncqzh2bg","13","3","15","13.04","152","0.383","1"
"33","gxtx0t83hbz108t46i6fi","33","0","15","1.693","50","0.556","1"
"34","wgai12x5a6egt6g2igu1","18","4","15","11.931","131","0.452","1"
"35","a0t61evv7q7ouamght45zk","28","4","15","10.184","86","0.594","1"
"36","mofp2vr7irf5ieu9ybxwga","22","2","15","3.382","679","0.447","1"
"37","0zj0obwqdrv237do60qb3w","31","0","15","15.559","107","0.517","1"
"38","z7qq4b7bg2f0l1fmlyphqrq","30","0","15","8.744","216","0.5","1"
"39","8wtzzz5q8e37e7elgi6nwh","15","5","15","340.85","16","0.444","1"
"40","mwhxltgbr798u0rv724p1c","32","0","15","12.119","143","0.536","1"
"41","mwhxltgbr798u0rv724p1c","34","1","15","11.252","131","0.615","1"
"42","zis5ziyf98ntc8j9mvoz5o","24","0","15","14.658","106","0.417","1"
"43","kvfaqogoy6abxmwd75vd8t","30","0","15","15.116","102","0.5","1"
"44","92mym4y7qtfi89fwh4wr3o","34","2","15","8.942","66","0.654","1"
"45","ydfj18rf696adzetc2rda","22","2","15","7.816","75","0.447","1"
"46","o9walhiv5n6avkmb9kfpx","27","3","15","15.256","91","0.545","1"
"47","pgdtfg990j2t3a62lmp4o","32","1","15","8.288","70","0.571","1"
"48","c71pcae89s0ur0hj0uoxok","33","0","15","6.849","95","0.556","1"
"49","c71pcae89s0ur0hj0uoxok","34","1","15","6.668","85","0.615","1"
"50","k6yysg1xv2rwvnsoltqz","26","6","15","19.024","86","0.618","1"
"51","8heqbtzu0yaqct9k1buet","28","0","15","15.291","99","0.469","1"
"52","9d3dvv95uuov0tkhasvhv","32","0","15","17.373","126","0.536","1"
"53","36fryxceczgc1z7ircirr6","32","0","15","17.867","91","0.536","1"
"54","gg8vwujmo6lwb4tt6kb2r","27","1","15","17.282","141","0.485","1"
"55","wvr8awzbiallju72rftdm","35","0","15","7.902","67","0.6","1"
"56","gg9dm8x5qatwhicucyx9e","32","1","15","17.196","56","0.571","1"
"57","tiwgnihk4ias4vparkzsdo","31","2","15","17.052","65","0.586","1"
"58","pteeigacyib6o1t2g9o1qi","36","1","15","7.494","86","0.667","1"
"59","wd7og5hjpce54pxsz88y5y","0","23","0","133.961","18","0.383","1"
"60","xmwbuzxoyk1i3xqzwtr43","22","0","15","10.76","84","0.395","1"
"61","ex1a9u9pi9ernp447b36w","0","7","14","6.849","169","0.35","1"
